#,HeadlineIdx,ID,Rank,Headline,Joke,Source,GPT_Score,Mistral_0to4,Mistral_Norm,Final_0to10
1,1,en_2001,1,Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China,China’s reaction was so fast they’d need a speed‑limit sign on the Panama Canal just to keep up with the gossip current.,GPT,6.35,1.93,4.34,5.54
2,1,en_2001,2,Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China,Why don’t Panamanian lawmakers ever go to China? Because they can’t Taiwan.,Llama,5.25,2.05,4.59,4.98
3,1,en_2001,3,Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China,"It’s funny how a delegation can turn a simple fact‑finding trip into a lesson in geography: plantains on one side, dumplings on the other, and everyone’s trying to locate the nearest diplomatic “no‑fly” zone.",GPT,5.35,1.78,3.96,4.79
4,1,en_2001,4,Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China,"Looks like Panama tried to ‘Tai‑wan’ the canal – they wanted a bridge not just of water, but of trade, and China replied, ‘Sorry, we only build walls, not bridges!’",GPT,7.20,0.00,0.00,4.32
5,1,en_2001,5,Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China,What's the difference between a politician and a prostitute? The prostitute can wash her crack and sell it again.,Llama,3.40,2.35,5.25,4.14
6,1,en_2001,6,Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China,"Breaking News: Ethiopian falls into crocodile pond 17 crocodiles confirmed dead so far, with Ethiopian still actively feeding.  Ethiopian being treated for lacerations and broken arm.  Ethiopian's dog is missing.  Ethiopian's phone is dead.  Ethiopian's camera is ruined.  Ethiopian's wallet is gone.  Ethiopian's watch is destroyed.  Ethiopian's belt is busted.  Ethiopian's shoes are toast.  Ethiopian's socks are missing.  Ethiopian's pants are gone.  Ethiopian's shirt is in shreds.  Ethiopian's jacket is toast.  Ethiopian's car is totaled.  Ethiopian's house is gone.  Ethiopian's family is dead.",Llama,3.30,2.08,4.65,3.84
7,1,en_2001,7,Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China,"Panama’s new tourism brochure now reads: ‘Visit Taiwan – we promise the only thing you’ll have to navigate is the diplomatic paperwork, not the canal!’",GPT,6.35,0.00,0.00,3.81
8,1,en_2001,8,Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China,Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China  Because they went to Taiwan,Llama,2.50,2.25,4.98,3.49
9,1,en_2001,9,Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China,The lawmakers came back with souvenir pandas that demanded a side‑by‑side meeting with the canal locks to discuss traffic flow and trade routes.,GPT,5.20,0.00,0.00,3.12
10,1,en_2001,10,Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China,Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China China is fuming.,Llama,1.80,2.11,4.71,2.96
11,1,en_2001,11,Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China,Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China. It’s not the first time the Panama Canal has caused tension between the two nations.,Llama,4.35,0.00,0.00,2.61
12,2,en_2002,1,Carra: Liverpool must sign in January - even after summer spending spree,Signing in January after a summer shopping binge is the football equivalent of waiting for the after‑shave sale to buy a beard.,GPT,8.00,2.15,4.79,6.72
13,2,en_2002,2,Carra: Liverpool must sign in January - even after summer spending spree,The only thing more surprising than a January signing is the club accountant discovering a hidden ‘buy‑now‑pay‑later’ clause in the budget.,GPT,7.30,2.29,5.09,6.42
14,2,en_2002,3,Carra: Liverpool must sign in January - even after summer spending spree,"Liverpool’s transfer budget is like a Christmas tree—already decked out in July, but they still need one more shiny star in January.",GPT,7.40,2.15,4.78,6.35
15,2,en_2002,4,Carra: Liverpool must sign in January - even after summer spending spree,"If Liverpool keeps buying players after the summer spree, their squad will need a passport just to fit inside the locker room.",GPT,6.80,2.29,5.09,6.12
16,2,en_2002,5,Carra: Liverpool must sign in January - even after summer spending spree,"Carra’s advice sounds like a bad diet plan: ‘You’ve already had the cake in July, now grab a salad in January!’",GPT,7.20,1.94,4.34,6.06
17,2,en_2002,6,Carra: Liverpool must sign in January - even after summer spending spree,A friend of mine died recently A friend of mine died recently  due to his obsession with pretending he was a detective.  He was always one step behind.,Llama,4.10,2.78,6.42,5.03
18,2,en_2002,7,Carra: Liverpool must sign in January - even after summer spending spree,"Liverpool must sign in January - even after summer spending spree And after a summer like that, I can only imagine what he'll be like in the winter.",Llama,3.60,2.24,4.96,4.14
19,2,en_2002,8,Carra: Liverpool must sign in January - even after summer spending spree,I have no idea why Liverpool haven't signed any new players this summer. Even though they have a spending spree every January.,Llama,2.90,2.51,5.68,4.01
20,2,en_2002,9,Carra: Liverpool must sign in January - even after summer spending spree,"Carra: Liverpool must sign in January - even after summer spending spree... ""We've spent too much already this summer.""  ""But we haven't signed anyone yet.""  ""I know, but just imagine how angry the fans will be if we don't sign anyone.""",Llama,4.60,0.00,0.00,2.76
21,2,en_2002,10,Carra: Liverpool must sign in January - even after summer spending spree,Liverpool should sign Carra in January. That way he can help them win the league.,Llama,3.50,0.00,0.00,2.10
22,2,en_2002,11,Carra: Liverpool must sign in January - even after summer spending spree,"Even after their summer spending spree, Liverpool still have a lot of work to do. They need to sign a number of players to strengthen their squad.",Llama,2.90,0.00,0.00,1.74
23,3,en_2003,1,Experts warn of health threat posed by ultra-processed foods,I always knew my snack aisle was a hazard zone—my cholesterol filed a restraining order.,GPT,6.90,2.50,5.66,6.40
24,3,en_2003,2,Experts warn of health threat posed by ultra-processed foods,Scientists now recommend a daily dose of kale and a weekly therapy session for your microwave.,GPT,7.05,2.26,5.00,6.23
25,3,en_2003,3,Experts warn of health threat posed by ultra-processed foods,"If ultra‑processed foods were a superhero, their power would be turning vitamins into villains.",GPT,6.50,2.30,5.11,5.94
26,3,en_2003,4,Experts warn of health threat posed by ultra-processed foods,Turns out the only thing more processed than the food is the press release about it.,GPT,6.70,2.15,4.80,5.94
27,3,en_2003,5,Experts warn of health threat posed by ultra-processed foods,The only thing threatening my health is the threat that my pizza will start filing taxes.,GPT,6.10,2.46,5.54,5.87
28,3,en_2003,6,Experts warn of health threat posed by ultra-processed foods,"Experts warn of health threat posed by ultra-processed foods But don't worry, they say, the same is not true of moderately processed foods.",Llama,5.25,2.38,5.31,5.27
29,3,en_2003,7,Experts warn of health threat posed by ultra-processed foods,"Experts warn of health threat posed by ultra-processed foods......but don't tell that to the French, who love croissants.",Llama,5.10,2.17,4.83,4.99
30,3,en_2003,8,Experts warn of health threat posed by ultra-processed foods,What's the difference between processed and unprocessed food? You can't get your teeth stuck in unprocessed food.,Llama,4.60,2.38,5.31,4.88
31,3,en_2003,9,Experts warn of health threat posed by ultra-processed foods,Experts warn of health threat posed by ultra-processed foods. A new study shows a link between fast food consumption and depression.   Some say this is a cry for help.,Llama,3.30,2.49,5.62,4.23
32,3,en_2003,10,Experts warn of health threat posed by ultra-processed foods,"On one hand, we have the health experts telling us that ultra-processed foods are a threat to our well-being. On the other hand, we have the food manufacturers telling us that their products are perfectly safe. Who to believe?  ...your choice.",Llama,3.60,0.00,0.00,2.16
33,3,en_2003,11,Experts warn of health threat posed by ultra-processed foods,"I don't care if you don't like the ""Twist."" I like the ""Twist.""",Llama,2.80,0.00,0.00,1.68
34,4,en_2004,1,Dick Cheney funeral: George W. Bush delivers eulogy,George W. Bush will be giving a eulogy at Dick Cheney's funeral. It's a good thing George has a problem remembering the names of world leaders.,Llama,5.60,2.32,5.17,5.43
35,4,en_2004,2,Dick Cheney funeral: George W. Bush delivers eulogy,"Dick Cheney funeral.... George W. Bush delivers eulogy, while Hillary Clinton is nowhere to be found.",Llama,3.80,1.87,4.17,3.95
36,4,en_2004,3,Dick Cheney funeral: George W. Bush delivers eulogy,"Dick Cheney funeral Dick Cheney is placed in a coffin, George W. Bush tries to lower it, but can't because he's too weak.",Llama,2.80,2.32,5.16,3.75
37,4,en_2004,4,Dick Cheney funeral: George W. Bush delivers eulogy,Dick Cheney Dies Peacefully In His Sleep The funeral will be held at a later date,Llama,1.40,2.20,4.88,2.79
38,4,en_2004,5,Dick Cheney funeral: George W. Bush delivers eulogy,Dick Cheney dies peacefully in his sleep......surrounded by his family.  George W. Bush delivers the eulogy.,Llama,2.00,1.64,3.60,2.64
39,4,en_2004,6,Dick Cheney funeral: George W. Bush delivers eulogy,"George W. Bush delivers the eulogy at Dick Cheney's funeral... ""And so we bid farewell to our beloved Dick, who will be deeply missed...""",Llama,2.40,0.00,0.00,1.44
40,5,en_2005,1,No place for Mostert distraction in South Africa team,"The selectors finally realized that a ""Mostert distraction"" is just a fancy way of saying the player keeps looking for his missing socks during the match.",GPT,7.90,2.18,4.84,6.68
41,5,en_2005,2,No place for Mostert distraction in South Africa team,"Turns out the South African side is allergic to Mostert; every time he steps onto the field the squad catches a case of ""most‑ert"" flu, and the only prescription is a 10‑minute nap.",GPT,7.70,2.12,4.72,6.51
42,5,en_2005,3,No place for Mostert distraction in South Africa team,"In a bold tactical move, the team replaced the cricket ball with a giant magnifying glass—just in case Mostert decides to distract the opposition by solving a mystery on the pitch.",GPT,6.70,2.29,5.08,6.05
43,5,en_2005,4,No place for Mostert distraction in South Africa team,"The selection committee acted like a silent‑movie director: they cut all the ""Mostert"" scenes, because even subtitles couldn’t explain why his mind keeps wandering to lunch.",GPT,6.70,2.04,4.58,5.85
44,5,en_2005,5,No place for Mostert distraction in South Africa team,"Fans breathed a sigh of relief when the coach said there’s no room for distraction, because the only alternative was handing Mostert a kazoo and calling it a new bowling technique.",GPT,6.80,1.94,4.34,5.82
45,5,en_2005,6,No place for Mostert distraction in South Africa team,"Where the hell is my Mostert distraction in South Africa team? A place for everything, and everything in its place.",Llama,5.30,2.03,4.56,5.00
46,5,en_2005,7,No place for Mostert distraction in South Africa team,What do you call masturbating in South Africa? No place for Mostert.,Llama,4.70,2.25,4.99,4.82
47,5,en_2005,8,No place for Mostert distraction in South Africa team,There is no place for Mostert distraction in South Africa team. And that's the Springbok story.,Llama,4.30,1.74,3.85,4.12
48,5,en_2005,9,No place for Mostert distraction in South Africa team,South Africa's new flag is a great idea. No more confusion between the rugby team and the cricket team.,Llama,3.50,2.17,4.82,4.03
49,5,en_2005,10,No place for Mostert distraction in South Africa team,There's a kid in our area who keeps stealing wheels from parked police cars The cops are working tirelessly to catch him,Llama,2.70,2.60,5.92,3.99
50,5,en_2005,11,No place for Mostert distraction in South Africa team,No place for Mostert distraction in South Africa team. Instead of Masturbate.,Llama,3.60,1.99,4.48,3.95
51,6,en_2006,1,Meet Troy - the parrot named after Ireland’s hat-trick hero,"Wordplay warning: Troy doesn't just repeat words, he repeats triumphs—every time you say ""goal"" he answers ""caw‑l!"" for extra points.",GPT,6.35,2.12,4.73,5.70
52,6,en_2006,2,Meet Troy - the parrot named after Ireland’s hat-trick hero,"Meet Troy, the parrot named after Ireland’s hat-trick hero. Troy is quite the conversationalist, but he just won’t shut his beak.",Llama,6.00,2.25,4.99,5.59
53,6,en_2006,3,Meet Troy - the parrot named after Ireland’s hat-trick hero,"Troy the parrot keeps squawking ""Goal! Goal! Goal!""—turns out the only hat he's ever worn is a feathered one.",GPT,6.00,2.17,4.82,5.53
54,6,en_2006,4,Meet Troy - the parrot named after Ireland’s hat-trick hero,"If you ask Troy what his favorite sport is, he'll say ""Polly‑gamy: I mate with every seed and still score a hat‑trick of crackers!""",GPT,5.40,2.24,4.95,5.22
55,6,en_2006,5,Meet Troy - the parrot named after Ireland’s hat-trick hero,"Meet Troy, the parrot, named after Ireland’s hat-trick hero.  He can only say a few words but he’ll still have the last word.",Llama,5.50,2.15,4.78,5.21
56,6,en_2006,6,Meet Troy - the parrot named after Ireland’s hat-trick hero,"Observationally, the only thing more Irish than a hat‑trick hero is a parrot that insists on shouting ""Top of the morning, lads!"" at every breakfast cereal.",GPT,5.40,2.12,4.73,5.13
57,6,en_2006,7,Meet Troy - the parrot named after Ireland’s hat-trick hero,"Absurdly, the parrot's training regimen involves perched on a soccer ball, juggling three peas, and delivering a perfect accent on every ""cheer‑io!""",GPT,5.40,2.03,4.56,5.07
58,6,en_2006,8,Meet Troy - the parrot named after Ireland’s hat-trick hero,"Troy the parrot, fresh out of jail. He was charged for resisting a rest stop.",Llama,4.85,2.22,4.92,4.88
59,6,en_2006,9,Meet Troy - the parrot named after Ireland’s hat-trick hero,What do you call a parrot with a soccer obsession? Meet Troy.,Llama,4.80,2.25,4.98,4.87
60,6,en_2006,10,Meet Troy - the parrot named after Ireland’s hat-trick hero,Meet Troy - the parrot named after Ireland’s hat-trick hero   It’s what’s left of my conversation with my neighbour.,Llama,3.50,2.22,4.91,4.07
61,6,en_2006,11,Meet Troy - the parrot named after Ireland’s hat-trick hero,Meet Troy - the parrot named after Ireland’s hat-trick hero  Because if you listen closely he really doesn’t say much,Llama,3.70,2.00,4.51,4.02
